Member State,Year,Fund,Total Paid,Advance,Interim,Absorption (%)
Greece,2011,TOTAL,2643059915.7,0,2643059915.7,34.9
Slovakia,2011,CF,122328099.9,0,122328099.9,24
Finland,2011,ESF,109185321.2,0,109185321.2,39.9
Poland,2011,TOTAL,9415548746.6,0,9415548746.6,37.2
Estonia,2011,CF,47532585.8,0,47532585.8,27.7
Netherlands,2011,ERDF,176762236.1,0,176762236.1,40
Bulgaria,2011,TOTAL,539323917.8,0,539323917.8,23.8
France,2011,ERDF,1120578122.9,0,1120578122.9,36.7
Slovakia,2011,ESF,140994735.5,0,140994735.5,23.6
Czech republic,2011,TOTAL,1659206099,0,1659206099,26.9
Spain,2011,ERDF,2916714891.1,0,2916714891.1,33.3
France,2011,TOTAL,1478529694.1,0,1478529694.1,34.5
France,2011,ESF,357951571.2,0,357951571.2,31.4
Germany,2011,TOTAL,3199322165.5,0,3199322165.5,41.2
Austria,2011,ERDF,83961663.8,0,83961663.8,37.2
Belgium,2011,ERDF,48983726.4,0,48983726.4,32
Croatia,2011,ESF,0,0,0,0
Ireland,2011,TOTAL,90605397.4,0,90605397.4,48.3
Bulgaria,2011,ESF,87343988.4,0,87343988.4,20.1
Malta,2011,ERDF,44371148.7,0,44371148.7,25.7
Cyprus,2011,CF,33998576.4,0,33998576.4,44
EU28,2011,TOTAL,38415734449.6,6705000,38409029449.6,33.6
EU28,2011,ESF,9519963975.3,0,9519963975.3,35.4
Luxembourg,2011,ERDF,7153624.4,0,7153624.4,46
Lithuania,2011,ESF,176335363.9,0,176335363.9,47.3
Malta,2011,CF,27096878,0,27096878,31.5
Greece,2011,ESF,512854537.1,0,512854537.1,26.6
Ireland,2011,ESF,67508279.2,0,67508279.2,60.4
Estonia,2011,ESF,28317543,0,28317543,46.5
Cyprus,2011,TOTAL,68683928,0,68683928,37.4
United Kingdom,2011,TOTAL,1099562658.7,0,1099562658.7,38.8
Croatia,2011,TOTAL,16115828.2,6705000,9410828.2,7.4
EU28,2011,ERDF,23398600951,4244850,23394356101,34.7
United Kingdom,2011,ERDF,681586900.2,0,681586900.2,37.4
Germany,2011,ERDF,2225630490.5,0,2225630490.5,42
Lithuania,2011,CF,357283657.4,0,357283657.4,46.7
Malta,2011,TOTAL,81784723.5,0,81784723.5,27.3
Luxembourg,2011,ESF,5228462,0,5228462,35.2
Spain,2011,ESF,1531426506.8,0,1531426506.8,37.3
Spain,2011,TOTAL,4902281444.1,0,4902281444.1,36.7
Slovenia,2011,TOTAL,500611924,0,500611924,37
Croatia,2011,CF,4842095.5,2460150,2381945.5,7.8
Lithuania,2011,ERDF,404172083.5,0,404172083.5,49.1
Austria,2011,ESF,43729800.3,0,43729800.3,44.1
Sweden,2011,TOTAL,318545283.4,0,318545283.4,46.5
Sweden,2011,ERDF,189649171,0,189649171,47.8
Hungary,2011,TOTAL,3480619182.3,0,3480619182.3,35.3
EU28,2011,CF,5497169523.3,2460150,5494709373.3,28.3
Poland,2011,ERDF,5239235053.5,0,5239235053.5,40.5
United Kingdom,2011,ESF,417975758.5,0,417975758.5,40.6
Italy,2011,TOTAL,1895858284.4,0,1895858284.4,21.7
Latvia,2011,TOTAL,512029237.3,0,512029237.3,36.4
Spain,2011,CF,454140046.2,0,454140046.2,57.3
Bulgaria,2011,ERDF,182421867.1,0,182421867.1,26
Bulgaria,2011,CF,269558062.3,0,269558062.3,22.5
Germany,2011,ESF,973691675,0,973691675,39.8
Finland,2011,TOTAL,241478100.3,0,241478100.3,40.9
Hungary,2011,CF,796900607.7,0,796900607.7,30
Croatia,2011,ERDF,11273732.6,4244850,7028882.6,9.7
Hungary,2011,ESF,557845557,0,557845557,33.7
Sweden,2011,ESF,128896112.4,0,128896112.4,44.8
Slovenia,2011,ERDF,389506488.1,0,389506488.1,46.3
Slovakia,2011,ERDF,758911149.3,0,758911149.3,31.2
Czech republic,2011,ERDF,1418437224.4,0,1418437224.4,33
Slovenia,2011,CF,40367297.9,0,40367297.9,26.6
Lithuania,2011,TOTAL,937791104.8,0,937791104.8,48
Estonia,2011,ERDF,163209635.1,0,163209635.1,49.9
Greece,2011,ERDF,1635491224.1,0,1635491224.1,39.7
Denmark,2011,ESF,28857640,0,28857640,34.2
Hungary,2011,ERDF,2125873017.6,0,2125873017.6,39.4
Croatia,2012,ERDF,13197079.2,0,13197079.2,12.8
France,2012,ESF,580776605.9,0,580776605.9,42
Bulgaria,2012,ESF,136031899.5,0,136031899.5,31.6
Spain,2012,ERDF,3673468651.8,0,3673468651.8,49.2
Slovenia,2012,ERDF,324390328.8,0,324390328.8,63.1
Finland,2012,ERDF,104391510.4,0,104391510.4,52.3
Cyprus,2012,ERDF,19152926,0,19152926,41.9
Cyprus,2012,CF,9105775.8,0,9105775.8,48.3
EU28,2012,ESF,10711517916,0,10711517916,49.4
Sweden,2012,ERDF,110051001.8,0,110051001.8,59.6
Romania,2012,CF,427242258.9,0,427242258.9,21.9
Slovenia,2012,ESF,134226321.5,0,134226321.5,50.4
Hungary,2012,CF,446844649.9,0,446844649.9,35.1
Italy,2012,ESF,1135171401.3,0,1135171401.3,45.4
United Kingdom,2012,ERDF,464281757.6,0,464281757.6,46
Romania,2012,ESF,110860554.1,0,110860554.1,21.7
Luxembourg,2012,ESF,3853491.8,0,3853491.8,50.5
Poland,2012,CF,3124607865.6,0,3124607865.6,44.8
Slovenia,2012,CF,87218988.8,0,87218988.8,32.8
Belgium,2012,ESF,193725178.1,0,193725178.1,50.5
Greece,2012,ERDF,1691761508,0,1691761508,53.6
Estonia,2012,TOTAL,658762511.7,0,658762511.7,61.3
Greece,2012,ESF,577688731.8,0,577688731.8,39.8
Malta,2012,ESF,8925604.5,0,8925604.5,30.9
Poland,2012,TOTAL,10098196903.3,0,10098196903.3,52.3
Italy,2012,TOTAL,2525518304,0,2525518304,30.8
United Kingdom,2012,TOTAL,1195674736.2,0,1195674736.2,50.9
Denmark,2012,ERDF,21418690.9,0,21418690.9,50.8
Hungary,2012,TOTAL,2222577272.4,0,2222577272.4,44.2
Latvia,2012,TOTAL,714175950.3,0,714175950.3,52.2
Denmark,2012,ESF,14104809.7,0,14104809.7,39.7
Belgium,2012,TOTAL,349602359.6,0,349602359.6,49.2
Austria,2012,ERDF,29132198.5,0,29132198.5,41.7
Netherlands,2012,ERDF,71282110.5,0,71282110.5,48.6
Lithuania,2012,TOTAL,1013987422.9,0,1013987422.9,62.9
Greece,2012,TOTAL,2888843188.5,0,2888843188.5,49.2
Bulgaria,2012,TOTAL,843560545.9,0,843560545.9,36.5
Bulgaria,2012,CF,317888063.8,0,317888063.8,36.5
Sweden,2012,ESF,0,0,0,44.8
Lithuania,2012,ESF,147386035.2,0,147386035.2,61.6
Estonia,2012,ESF,105510673.4,0,105510673.4,73.5
Czech republic,2012,ESF,299544273.6,0,299544273.6,30.3
Germany,2012,TOTAL,3291270505.8,0,3291270505.8,54.1
Czech republic,2012,CF,1411742785.7,0,1411742785.7,35.7
Denmark,2012,TOTAL,35523500.6,0,35523500.6,45.3
Romania,2012,TOTAL,1137662487,0,1137662487,22.6
Czech republic,2012,ERDF,1399293712.6,0,1399293712.6,43.3
Czech republic,2012,TOTAL,3110580771.9,0,3110580771.9,38.9
Greece,2012,CF,619392948.7,0,619392948.7,46
Malta,2012,CF,24929371.9,0,24929371.9,40.3
Bulgaria,2012,ERDF,389640582.7,0,389640582.7,38.4
EU28,2012,ERDF,24690705840.5,0,24690705840.5,47.6
Netherlands,2012,TOTAL,198526218.1,0,198526218.1,45.6
Slovakia,2012,TOTAL,1522428893.8,0,1522428893.8,41.1
Latvia,2012,ESF,112274801.8,0,112274801.8,79.3
Ireland,2012,ESF,35873805,0,35873805,70
Ireland,2012,ERDF,54711606.2,0,54711606.2,50.7
Croatia,2012,ESF,0,0,0,0
Estonia,2012,ERDF,249731878,0,249731878,63.3
Croatia,2012,TOTAL,25411525.2,0,25411525.2,10.3
Slovakia,2012,ERDF,921147054.9,0,921147054.9,46.3
Sweden,2012,TOTAL,110051001.8,0,110051001.8,53.3
Malta,2012,TOTAL,83300235.8,0,83300235.8,37.2
Germany,2012,ESF,1256973890,0,1256973890,53.2
Portugal,2012,ERDF,2738472686.2,0,2738472686.2,59.4
Malta,2012,ERDF,49445259.4,0,49445259.4,36.8
Portugal,2012,TOTAL,4584333422.1,0,4584333422.1,59.2
Cyprus,2012,TOTAL,42436822.3,0,42436822.3,44.3
Slovenia,2012,TOTAL,545835639.1,0,545835639.1,50.3
Lithuania,2012,ERDF,511609098.9,0,511609098.9,63.9
Poland,2012,ESF,1657381687.5,0,1657381687.5,56.8
United Kingdom,2012,ESF,731392978.6,0,731392978.6,56.9
Netherlands,2012,ESF,127244107.6,0,127244107.6,42.6
Latvia,2012,CF,214510232.6,0,214510232.6,46.1
Croatia,2012,CF,12214446,0,12214446,12.2
Latvia,2012,ERDF,387390915.9,0,387390915.9,49.6
Belgium,2012,ERDF,155877181.6,0,155877181.6,47.8
Luxembourg,2012,ERDF,1814097.9,0,1814097.9,53.2
Ireland,2012,TOTAL,90585411.3,0,90585411.3,60.3
Italy,2012,ERDF,1390346902.7,0,1390346902.7,25.9
Luxembourg,2012,TOTAL,5667589.7,0,5667589.7,51.8
Spain,2012,CF,228593893.7,0,228593893.7,63.8
Hungary,2012,ERDF,1399841573.1,0,1399841573.1,50.5
France,2012,TOTAL,1149568492.9,0,1149568492.9,43
Finland,2012,TOTAL,220369447.9,0,220369447.9,54.7
EU28,2012,CF,8671943015.8,0,8671943015.8,40.8
Cyprus,2012,ESF,14178120.5,0,14178120.5,42.8
Portugal,2012,ESF,1110206178.9,0,1110206178.9,65.6
Austria,2012,ESF,127612653.4,0,127612653.4,68.4
Spain,2012,TOTAL,5252970760.2,0,5252970760.2,51.9
Spain,2012,ESF,1350908214.7,0,1350908214.7,54.3
Germany,2012,ERDF,2034296615.9,0,2034296615.9,54.6
Romania,2012,ERDF,599559673.9,0,599559673.9,23.5
EU28,2012,TOTAL,44074166772.3,0,44074166772.3,46.6
Estonia,2012,CF,303519960.3,0,303519960.3,54.1
Portugal,2012,CF,735654557,0,735654557,43.9
Austria,2012,TOTAL,156744851.9,0,156744851.9,53.7
Lithuania,2012,CF,354992288.9,0,354992288.9,62.1
Slovakia,2012,ESF,247796910.8,0,247796910.8,40.2
Finland,2012,ESF,115977937.5,0,115977937.5,58.6
France,2012,ERDF,568791887,0,568791887,43.7
Hungary,2012,ESF,375891049.3,0,375891049.3,44.1
Poland,2012,ERDF,5316207350.2,0,5316207350.2,55.8
Slovakia,2012,CF,353484928.1,0,353484928.1,33.1
Latvia,2013,ESF,91576056.8,0,91576056.8,95
Spain,2013,CF,316127930.2,0,316127930.2,72.7
Latvia,2013,TOTAL,623654432.3,0,623654432.3,66
Malta,2013,ERDF,49169981.4,0,49169981.4,47.9
Czech republic,2013,TOTAL,3522506023.8,0,3522506023.8,52.5
Slovakia,2013,ESF,123215580.4,0,123215580.4,48.6
Netherlands,2013,ERDF,144282671.4,0,144282671.4,65.9
Portugal,2013,ERDF,2122226434,0,2122226434,77.9
Slovakia,2013,ERDF,660132510.5,0,660132510.5,57.2
Luxembourg,2013,ERDF,3805343.6,0,3805343.6,68.2
Bulgaria,2013,CF,142246524.3,0,142246524.3,42.7
Italy,2013,ERDF,4166478794.5,0,4166478794.5,45.8
Netherlands,2013,ESF,158936774.2,0,158936774.2,61.8
Estonia,2013,ESF,64243686.1,0,64243686.1,89.9
Hungary,2013,CF,1501466204.3,0,1501466204.3,52.5
Greece,2013,CF,1041441479.6,0,1041441479.6,74.2
Latvia,2013,ERDF,327225937.2,0,327225937.2,63.1
Germany,2013,ERDF,2324819734.6,0,2324819734.6,69.1
Netherlands,2013,TOTAL,303219445.7,0,303219445.7,63.8
Croatia,2013,TOTAL,68193301.5,0,68193301.5,18.3
Finland,2013,TOTAL,334713134.1,0,334713134.1,75.7
Italy,2013,ESF,1239165928.2,0,1239165928.2,63.2
EU28,2013,CF,11227466338,0,11227466338,56.8
Belgium,2013,ESF,228591506.4,0,228591506.4,71.8
Malta,2013,ESF,27155612.1,0,27155612.1,55.2
Greece,2013,TOTAL,4111843859.1,0,4111843859.1,69.6
Croatia,2013,ESF,0,0,0,0
Estonia,2013,ERDF,291653919.5,0,291653919.5,79
Latvia,2013,CF,204852438.2,0,204852438.2,59.4
Denmark,2013,ERDF,0,0,0,50.8
Croatia,2013,ERDF,43240924.9,0,43240924.9,23
Germany,2013,ESF,1925319705.6,0,1925319705.6,73.8
Romania,2013,ERDF,1210601475.1,0,1210601475.1,37.2
Luxembourg,2013,TOTAL,8091002.6,0,8091002.6,67.8
Finland,2013,ERDF,211287537.2,0,211287537.2,73.9
United Kingdom,2013,ERDF,299911499.6,0,299911499.6,51.5
Romania,2013,ESF,711355238.9,0,711355238.9,41
Czech republic,2013,ESF,1027907861.9,0,1027907861.9,58.3
France,2013,TOTAL,2294477514.8,0,2294477514.8,59.9
Estonia,2013,CF,322693433.2,0,322693433.2,82.1
Hungary,2013,ESF,437501095.4,0,437501095.4,56.2
France,2013,ERDF,1317737650.7,0,1317737650.7,60.1
Belgium,2013,TOTAL,404989908,0,404989908,68.9
Bulgaria,2013,ERDF,435678301.2,0,435678301.2,52.2
Sweden,2013,TOTAL,250369415.9,0,250369415.9,68.7
Estonia,2013,TOTAL,678591038.8,0,678591038.8,81.3
Luxembourg,2013,ESF,4285659,0,4285659,67.4
Czech republic,2013,CF,1363040475.5,0,1363040475.5,51.4
Portugal,2013,CF,857184279.4,0,857184279.4,71.9
Hungary,2013,TOTAL,3752738591.4,0,3752738591.4,59.3
Slovenia,2013,TOTAL,516215002.1,0,516215002.1,62.9
Malta,2013,TOTAL,109883899.6,0,109883899.6,50.3
Austria,2013,ERDF,90110163.1,0,90110163.1,55.6
Denmark,2013,ESF,46669932,0,46669932,58
Romania,2013,TOTAL,2884470134.1,0,2884470134.1,37.8
Portugal,2013,ESF,1194849756.6,0,1194849756.6,83
EU28,2013,ERDF,28381340565.8,0,28381340565.8,62.3
Ireland,2013,ESF,0,0,0,70
Poland,2013,CF,3436723132.6,0,3436723132.6,60.1
Belgium,2013,ERDF,176398401.6,0,176398401.6,65.6
Greece,2013,ERDF,2210489541.9,0,2210489541.9,71.8
Lithuania,2013,CF,360230623.8,0,360230623.8,77.7
Spain,2013,TOTAL,3815875527.8,0,3815875527.7,62.9
Ireland,2013,ERDF,73064349.8,0,73064349.8,70.2
Finland,2013,ESF,123425596.9,0,123425596.9,78.6
Cyprus,2013,TOTAL,103937012.6,0,103937012.6,61.3
Spain,2013,ERDF,2732400906.5,0,2732400906.5,61.1
France,2013,ESF,976739864.1,0,976739864.1,59.7
Romania,2013,CF,962513420.1,0,962513420.1,36.7
Austria,2013,ESF,88834753.2,0,88834753.2,85.4
Bulgaria,2013,TOTAL,886207011.1,0,886207011.1,49.9
Sweden,2013,ESF,101096345.7,0,101096345.7,59.4
United Kingdom,2013,TOTAL,571783920.3,0,571783920.4,56.7
Lithuania,2013,TOTAL,1072505655.8,0,1072505655.8,78.8
Germany,2013,TOTAL,4250139440.2,0,4250139440.2,70.8
EU28,2013,TOTAL,52253925580.8,0,52253925580.8,62
Lithuania,2013,ESF,176983235.2,0,176983235.2,78.9
Poland,2013,ESF,1513081541.3,0,1513081541.3,71.9
Slovenia,2013,ESF,151477018.3,0,151477018.3,70.4
Hungary,2013,ERDF,1813771291.6,0,1813771291.6,64.8
Croatia,2013,CF,24952376.6,0,24952376.6,21.1
United Kingdom,2013,ESF,271872420.7,0,271872420.7,62.9
Austria,2013,TOTAL,178944916.3,0,178944916.3,69
EU28,2013,ESF,12645118677,0,12645118677,65.9
Slovenia,2013,ERDF,259695374.4,0,259695374.4,76.5
Cyprus,2013,ERDF,75125314.3,0,75125314.3,68.8
Denmark,2013,TOTAL,46669932,0,46669932,54.4
Italy,2013,TOTAL,5405644722.6,0,5405644722.6,50.1
Greece,2013,ESF,859912837.6,0,859912837.6,59.5
Sweden,2013,ERDF,149273070.2,0,149273070.2,75.6
Slovenia,2013,CF,105042609.4,0,105042609.4,40.3
Slovakia,2013,TOTAL,1335221291,0,1335221291,52.7
Bulgaria,2013,ESF,308282185.7,0,308282185.7,57.7
Ireland,2013,TOTAL,73064349.8,0,73064349.8,70.1
Cyprus,2013,CF,3519904.5,0,3519904.5,50
Slovakia,2013,CF,551873200.1,0,551873200.1,47.2
Lithuania,2013,ERDF,535291796.8,0,535291796.8,79.5
Portugal,2013,TOTAL,4174260470.1,0,4174260470.1,78.7
Cyprus,2013,ESF,25291793.8,0,25291793.8,63.9
Poland,2013,TOTAL,10475714627.6,0,10475714627.6,67.9
Malta,2013,CF,33558306.1,0,33558306.1,52.1
Czech republic,2013,ERDF,1131557686.4,0,1131557686.4,51.7
Poland,2013,ERDF,5525909953.7,0,5525909953.7,71.7
Spain,2013,ESF,767346691,0,767346691,64
Hungary,2014,TOTAL,4232893969.2,0,4232893969.2,76.3
Bulgaria,2014,CF,350480735,0,350480735,58
Greece,2014,ERDF,2111441387.4,0,2111441387.4,89.2
Lithuania,2014,ESF,166070503.8,0,166070503.8,95
Slovenia,2014,CF,338557167,0,338557167,64.2
Belgium,2014,ESF,58471808.4,0,58471808.4,77.3
Croatia,2014,ESF,43998399.8,0,43998399.8,28.9
Czech republic,2014,CF,899946865.8,0,899946865.8,61.9
Estonia,2014,TOTAL,376167102.8,0,376167102.8,92.3
Romania,2014,ERDF,1864404745.6,0,1864404745.6,58.3
Slovenia,2014,ESF,134880399.9,0,134880399.9,88.3
Malta,2014,ESF,15953135.6,0,15953135.6,69.4
Cyprus,2014,TOTAL,140763139.7,0,140763139.7,84.3
Cyprus,2014,ERDF,54246242.6,0,54246242.6,88.2
France,2014,ERDF,1391386917.4,0,1391386917.4,77.4
Finland,2014,ERDF,133791750.1,0,133791750.1,87.6
Luxembourg,2014,ESF,3910171.5,0,3910171.5,82.9
Spain,2014,CF,646438590.6,0,646438590.6,90.9
Estonia,2014,ESF,19978738.9,0,19978738.9,95
Cyprus,2014,ESF,31705093.8,0,31705093.8,90.4
Sweden,2014,ERDF,133471896.9,0,133471896.9,89.9
Belgium,2014,ERDF,221290008.6,0,221290008.6,88.1
Ireland,2014,ERDF,48431383.1,0,48431383.1,83.1
Hungary,2014,CF,1891341671.6,0,1891341671.6,74.4
Greece,2014,ESF,1088683042.7,0,1088683042.7,84.5
Sweden,2014,TOTAL,344723152,0,344723152,89.9
Bulgaria,2014,ESF,288281819.1,0,288281819.1,82.2
Croatia,2014,CF,86149873.2,59920000,26229873.2,51.7
Croatia,2014,TOTAL,230140853.9,128440000,101700853.9,45.1
Estonia,2014,CF,144386698,0,144386698,94.6
Luxembourg,2014,TOTAL,8066891.2,0,8066891.2,83.8
Slovakia,2014,CF,403065761.1,0,403065761.1,57.6
Austria,2014,ERDF,81839972.5,0,81839972.5,68.3
United Kingdom,2014,ESF,318941460.6,0,318941460.6,70
Italy,2014,TOTAL,3703399756.6,0,3703399756.6,63.3
France,2014,ESF,819024169.4,0,819024169.4,74.6
EU28,2014,CF,12848408767.5,59920000,12788488767.5,75.2
Germany,2014,ERDF,2109052082.7,0,2109052082.7,82.2
Denmark,2014,ESF,58116099.4,0,58116099.4,80.8
Malta,2014,TOTAL,194056604,0,194056604,73.4
Slovenia,2014,ERDF,298282490.1,0,298282490.1,91.9
Poland,2014,ESF,1532155871.2,0,1532155871.2,87.2
United Kingdom,2014,TOTAL,1613785654.5,0,1613785654.5,73.1
Spain,2014,ESF,336193645.2,0,336193645.2,68.2
Bulgaria,2014,ERDF,427816742.1,0,427816742.1,65.8
Austria,2014,ESF,50428816.3,0,50428816.3,95
Luxembourg,2014,ERDF,4156719.7,0,4156719.7,84.7
Portugal,2014,TOTAL,2979445343.5,0,2979445343.5,92.6
Spain,2014,TOTAL,3473663438.2,0,3473663438.2,73
Netherlands,2014,TOTAL,278671420.1,0,278671420.1,80.6
Slovakia,2014,TOTAL,852949366.2,0,852949366.2,60.1
Malta,2014,ERDF,118785358.6,0,118785358.6,74.7
Hungary,2014,ESF,894540063.8,0,894540063.8,80.9
Finland,2014,ESF,81359492.6,0,81359492.6,91.7
Romania,2014,TOTAL,3536806630.6,0,3536806630.6,56.3
Netherlands,2014,ESF,129106356.2,0,129106356.2,77.3
Slovenia,2014,TOTAL,771720057,0,771720057,81.7
Denmark,2014,ERDF,76313302.4,0,76313302.4,80.7
France,2014,TOTAL,2210411086.7,0,2210411086.7,76.3
Portugal,2014,ERDF,1541659765.6,0,1541659765.6,91.3
Estonia,2014,ERDF,211801665.9,0,211801665.9,90.4
Netherlands,2014,ERDF,149565063.9,0,149565063.9,84
Romania,2014,CF,1554586467,0,1554586467,60.5
Austria,2014,TOTAL,132268788.9,0,132268788.9,80.3
Poland,2014,CF,4497445613.9,0,4497445613.9,80.2
Italy,2014,ESF,1006383195.6,0,1006383195.6,77.7
Czech republic,2014,TOTAL,2954118077.6,0,2954118077.6,64
Germany,2014,ESF,1073068594,0,1073068594,85.3
Belgium,2014,TOTAL,279761817,0,279761817,82.5
Hungary,2014,ERDF,1447012233.8,0,1447012233.8,76.3
Lithuania,2014,TOTAL,1013149471.8,0,1013149471.8,93.7
Poland,2014,ERDF,5657379630.8,0,5657379630.8,87.9
Slovakia,2014,ERDF,137719068.8,0,137719068.8,59.4
Denmark,2014,TOTAL,134429401.7,0,134429401.7,80.8
Slovakia,2014,ESF,312164536.2,0,312164536.2,69.6
Latvia,2014,ERDF,388684338.2,0,388684338.2,79.3
Sweden,2014,ESF,211251255,0,211251255,89.9
Czech republic,2014,ESF,308700892.1,0,308700892.1,66.7
Ireland,2014,ESF,24148177.8,0,24148177.8,76.4
Cyprus,2014,CF,54811803.3,0,54811803.3,75.7
Greece,2014,CF,580210011.2,0,580210011.2,89.9
EU28,2014,ESF,9944484942.9,0,9944484942.9,78.9
Ireland,2014,TOTAL,72579560.9,0,72579560.9,79.7
Portugal,2014,CF,618631792,0,618631792,92.1
EU28,2014,TOTAL,50177776136.6,128440000,50049336136.6,76.8
Malta,2014,CF,59318109.8,0,59318109.8,72.9
EU28,2014,ERDF,27384882426.2,68520000,27316362426.2,76.6
Spain,2014,ERDF,2491031202.4,0,2491031202.4,71.9
United Kingdom,2014,ERDF,1294844193.9,0,1294844193.9,75.6
Greece,2014,TOTAL,3780334441.3,0,3780334441.3,88.3
Romania,2014,ESF,117815418,0,117815418,44.2
Finland,2014,TOTAL,215151242.7,0,215151242.7,89.2
Czech republic,2014,ERDF,1745470319.8,0,1745470319.8,64.6
Poland,2014,TOTAL,11686981116,0,11686981116,85.3
Latvia,2014,CF,323953441.4,0,323953441.4,80.4
Portugal,2014,ESF,819153786,0,819153786,95
Bulgaria,2014,TOTAL,1066579296.2,0,1066579296.2,66
Germany,2014,TOTAL,3182120676.8,0,3182120676.8,83.3
Latvia,2014,TOTAL,712637779.6,0,712637779.6,81.7
Lithuania,2014,ERDF,447994801.2,0,447994801.2,92.5
Italy,2014,ERDF,2697016561.1,0,2697016561.1,58.6
Latvia,2014,ESF,0,0,0,95
Lithuania,2014,CF,399084166.7,0,399084166.7,95
Croatia,2014,ERDF,99992581,68520000,31472581,46.5
Bulgaria,2015,TOTAL,966725918.1,0,966725918.1,80.6
Cyprus,2015,ESF,4359811.8,0,4359811.8,94.1
Portugal,2015,CF,88053490.1,0,88053490.1,95
Slovakia,2015,ESF,115800057.4,0,115800057.4,77.4
EU28,2015,ESF,6497899152.7,0,6497899152.7,87.4
Malta,2015,ESF,9269049.3,0,9269049.3,77.7
Latvia,2015,ESF,0,0,0,95
Lithuania,2015,ERDF,86238318.3,0,86238318.3,95
Finland,2015,TOTAL,82557905.3,0,82557905.3,94.4
Estonia,2015,CF,4481119.8,0,4481119.8,95
Belgium,2015,ESF,94315880.8,0,94315880.8,86.1
Slovakia,2015,TOTAL,1736542980.2,0,1736542980.2,75.2
Hungary,2015,CF,537615448.6,0,537615448.6,80.6
Estonia,2015,ESF,0,0,0,95
Croatia,2015,ERDF,20660573.8,0,20660573.8,51.4
Poland,2015,TOTAL,5783647337.8,0,5783647337.8,93.9
Finland,2015,ERDF,62252921.7,0,62252921.7,93.9
Bulgaria,2015,ERDF,487576256.8,0,487576256.8,81.3
Austria,2015,ESF,0,0,0,95
EU28,2015,ERDF,18701235429.6,0,18701235429.6,86.3
Czech republic,2015,CF,1205467067.3,0,1205467067.3,75.8
Czech republic,2015,TOTAL,4829010394.3,0,4829010394.3,82.7
France,2015,ESF,832063923.6,0,832063923.6,89.8
Latvia,2015,ERDF,359251856.2,0,359251856.2,94.2
Netherlands,2015,ERDF,35372575.4,0,35372575.4,88.2
Luxembourg,2015,ESF,2288923.2,0,2288923.2,92
Lithuania,2015,CF,0,0,0,95
Austria,2015,TOTAL,137557022.5,0,137557022.5,92
Ireland,2015,ESF,47060264,0,47060264,89
Germany,2015,ESF,596396202.4,0,596396202.4,91.7
Czech republic,2015,ESF,728555968.4,0,728555968.4,86.5
Spain,2015,CF,144043281.1,0,144043281.1,95
Czech republic,2015,ERDF,2894987358.5,0,2894987358.5,86.1
Spain,2015,ERDF,2671107344.9,0,2671107344.9,83.5
Austria,2015,ERDF,137557022.5,0,137557022.5,89.6
Belgium,2015,ERDF,54766613.6,0,54766613.6,93.6
France,2015,ERDF,845326255.9,0,845326255.9,87.9
Poland,2015,ESF,778939813.5,0,778939813.5,95
Hungary,2015,ERDF,1272275091.6,0,1272275091.6,86.3
Greece,2015,TOTAL,1236541561,0,1236541561,94.4
Netherlands,2015,ESF,92718036.1,0,92718036.1,88.5
Latvia,2015,TOTAL,583087895.6,0,583087895.6,94.6
Ireland,2015,ERDF,29680587.8,0,29680587.8,91
Luxembourg,2015,ERDF,2598961.6,0,2598961.6,95
Poland,2015,CF,3309367602.1,0,3309367602.1,95
Netherlands,2015,TOTAL,128090611.5,0,128090611.5,88.4
Portugal,2015,TOTAL,507215553.1,0,507215553.1,95
Croatia,2015,TOTAL,57960562.8,0,57960562.9,51.8
Romania,2015,ESF,661520588.6,0,661520588.6,62.2
Hungary,2015,TOTAL,1828304651.2,0,1828304651.2,83.6
Malta,2015,ERDF,37449766.6,0,37449766.6,83.1
Luxembourg,2015,TOTAL,4887884.8,0,4887884.8,93.5
Lithuania,2015,TOTAL,86238318.3,0,86238318.3,95
Croatia,2015,ESF,11231016.7,0,11231016.7,36.2
Greece,2015,ERDF,767466553.4,0,767466553.4,95.5
Greece,2015,CF,187666956.6,0,187666956.6,95
Slovenia,2015,ERDF,59830426,0,59830426,95
Latvia,2015,CF,223836039.5,0,223836039.5,94.9
Cyprus,2015,TOTAL,32137905.2,0,32137905.2,89.5
Slovakia,2015,CF,741675505.5,0,741675505.5,76.6
Slovenia,2015,ESF,50663914.9,0,50663914.9,95
Slovakia,2015,ERDF,879067417.3,0,879067417.3,73.8
Sweden,2015,ESF,35129157.4,0,35129157.4,95
Sweden,2015,ERDF,43279600.1,0,43279600.1,94.5
Cyprus,2015,CF,8781949.4,0,8781949.4,79.8
Croatia,2015,CF,26068972.4,0,26068972.4,61
Malta,2015,TOTAL,65255089.9,0,65255089.9,81.2
Greece,2015,ESF,281408051.1,0,281408051.1,90.9
Malta,2015,CF,18536274,0,18536274,79.5
Slovenia,2015,CF,280933492.2,0,280933492.2,84.1
Denmark,2015,ERDF,36325982.1,0,36325982.1,95
EU28,2015,CF,7741870161.9,0,7741870161.9,86.3
Hungary,2015,ESF,18414110.9,0,18414110.9,81.4
Germany,2015,ERDF,1382500410.5,0,1382500410.5,90.8
Lithuania,2015,ESF,0,0,0,95
Bulgaria,2015,ESF,143400026.5,0,143400026.5,94.3
Estonia,2015,TOTAL,90729492.8,0,90729492.8,95
Bulgaria,2015,CF,335749634.8,0,335749634.8,72.7
